round_id,run_id,model_id,provider,target_date,price_date,days_elapsed,run_type,submission_format,selected_option_id,holding_count,model_return,sp500_return,alpha_vs_sp500,price_status,published
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-08,2026-05-08,0,official,single_pick,SEMICONDUCTORS,1,0.0,0.0,0.0,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-08,2026-05-08,0,official,single_pick,SEMICONDUCTORS,1,0.0,0.0,0.0,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-08,2026-05-08,0,official,single_pick,SEMICONDUCTORS,1,0.0,0.0,0.0,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-08,2026-05-08,0,official,single_pick,SEMICONDUCTORS,1,0.0,0.0,0.0,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-15,2026-05-15,7,official,single_pick,SEMICONDUCTORS,1,-0.01800402442898985,0.002101353000189654,-0.020105377429179505,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-15,2026-05-15,7,official,single_pick,SEMICONDUCTORS,1,-0.01800402442898985,0.002101353000189654,-0.020105377429179505,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-15,2026-05-15,7,official,single_pick,SEMICONDUCTORS,1,-0.01800402442898985,0.002101353000189654,-0.020105377429179505,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-15,2026-05-15,7,official,single_pick,SEMICONDUCTORS,1,-0.01800402442898985,0.002101353000189654,-0.020105377429179505,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-22,2026-05-22,14,official,single_pick,SEMICONDUCTORS,1,0.017262682246619976,0.010872807136465878,0.006389875110154097,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-22,2026-05-22,14,official,single_pick,SEMICONDUCTORS,1,0.017262682246619976,0.010872807136465878,0.006389875110154097,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-22,2026-05-22,14,official,single_pick,SEMICONDUCTORS,1,0.017262682246619976,0.010872807136465878,0.006389875110154097,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-22,2026-05-22,14,official,single_pick,SEMICONDUCTORS,1,0.017262682246619976,0.010872807136465878,0.006389875110154097,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-26,2026-05-26,18,official,single_pick,SEMICONDUCTORS,1,0.06283757545804369,0.017583579620943146,0.04525399583710055,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-26,2026-05-26,18,official,single_pick,SEMICONDUCTORS,1,0.06283757545804369,0.017583579620943146,0.04525399583710055,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-26,2026-05-26,18,official,single_pick,SEMICONDUCTORS,1,0.06283757545804369,0.017583579620943146,0.04525399583710055,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-26,2026-05-26,18,official,single_pick,SEMICONDUCTORS,1,0.06283757545804369,0.017583579620943146,0.04525399583710055,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-28,2026-05-28,20,official,single_pick,SEMICONDUCTORS,1,0.0587602236202982,0.023019950090747976,0.035740273529550226,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-28,2026-05-28,20,official,single_pick,SEMICONDUCTORS,1,0.0587602236202982,0.023019950090747976,0.035740273529550226,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-28,2026-05-28,20,official,single_pick,SEMICONDUCTORS,1,0.0587602236202982,0.023019950090747976,0.035740273529550226,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-28,2026-05-28,20,official,single_pick,SEMICONDUCTORS,1,0.0587602236202982,0.023019950090747976,0.035740273529550226,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-05-29,2026-05-29,21,official,single_pick,SEMICONDUCTORS,1,0.05717160306421443,0.025568721021664187,0.03160288204255024,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-05-29,2026-05-29,21,official,single_pick,SEMICONDUCTORS,1,0.05717160306421443,0.025568721021664187,0.03160288204255024,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-05-29,2026-05-29,21,official,single_pick,SEMICONDUCTORS,1,0.05717160306421443,0.025568721021664187,0.03160288204255024,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-05-29,2026-05-29,21,official,single_pick,SEMICONDUCTORS,1,0.05717160306421443,0.025568721021664187,0.03160288204255024,complete,True
CB-2026-05-10-1M,official-round-1-clean,anthropic-claude-opus-4-7,anthropic,2026-06-01,2026-06-01,24,official,single_pick,SEMICONDUCTORS,1,0.0728456949200409,0.028361486944497027,0.044484207975543866,complete,True
CB-2026-05-10-1M,official-round-1-clean,google-gemini-3-1-pro,google,2026-06-01,2026-06-01,24,official,single_pick,SEMICONDUCTORS,1,0.0728456949200409,0.028361486944497027,0.044484207975543866,complete,True
CB-2026-05-10-1M,official-round-1-clean,openai-gpt-5-5,openai,2026-06-01,2026-06-01,24,official,single_pick,SEMICONDUCTORS,1,0.0728456949200409,0.028361486944497027,0.044484207975543866,complete,True
CB-2026-05-10-1M,official-round-1-clean,xai-grok-4-3,xai,2026-06-01,2026-06-01,24,official,single_pick,SEMICONDUCTORS,1,0.0728456949200409,0.028361486944497027,0.044484207975543866,complete,True
