round_id,run_id,model_id,provider,target_date,price_date,days_elapsed,run_type,submission_format,selected_option_id,holding_count,model_return,sp500_return,alpha_vs_sp500,price_status,published
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-03,2026-09-03,0,official,portfolio,ENERGY,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-03,2026-09-03,0,official,portfolio,FINANCIALS,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-03,2026-09-03,0,official,portfolio,REGIONAL_BANKS,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-03,2026-09-03,0,official,portfolio,REGIONAL_BANKS,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-03,2026-09-03,0,official,portfolio,SP500,2,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-03,2026-09-03,0,official,portfolio,REGIONAL_BANKS,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-03,2026-09-03,0,official,portfolio,FINANCIALS,3,0.0,0.0,0.0,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-04,2026-09-04,1,official,portfolio,ENERGY,3,-0.003519766218934589,-0.0038542623226456296,0.0003344961037110407,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-04,2026-09-04,1,official,portfolio,FINANCIALS,3,0.00026147122141606007,-0.0038542623226456296,0.00411573354406169,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-04,2026-09-04,1,official,portfolio,REGIONAL_BANKS,3,0.0028022932143504375,-0.0038542623226456296,0.006656555536996067,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-04,2026-09-04,1,official,portfolio,REGIONAL_BANKS,3,0.00032745662537902467,-0.0038542623226456296,0.0041817189480246545,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-04,2026-09-04,1,official,portfolio,SP500,2,-0.000635362669463291,-0.0038542623226456296,0.003218899653182339,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-04,2026-09-04,1,official,portfolio,REGIONAL_BANKS,3,-0.0013706030105998966,-0.0038542623226456296,0.002483659312045733,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-04,2026-09-04,1,official,portfolio,FINANCIALS,3,-0.002497585624168802,-0.0038542623226456296,0.0013566766984768278,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-08,2026-09-08,5,official,portfolio,ENERGY,3,-0.008260380544319717,-0.00932521699929345,0.0010648364549737336,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-08,2026-09-08,5,official,portfolio,FINANCIALS,3,-0.01127652739621992,-0.00932521699929345,-0.0019513103969264686,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-08,2026-09-08,5,official,portfolio,REGIONAL_BANKS,3,-0.006151093677034014,-0.00932521699929345,0.003174123322259437,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-08,2026-09-08,5,official,portfolio,REGIONAL_BANKS,3,-0.011435955460345103,-0.00932521699929345,-0.0021107384610516526,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-08,2026-09-08,5,official,portfolio,SP500,2,-0.0086792734389115,-0.00932521699929345,0.0006459435603819504,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-08,2026-09-08,5,official,portfolio,REGIONAL_BANKS,3,-0.013401126496011283,-0.00932521699929345,-0.004075909496717833,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-08,2026-09-08,5,official,portfolio,FINANCIALS,3,-0.011830193305118735,-0.00932521699929345,-0.0025049763058252843,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-09,2026-09-09,6,official,portfolio,ENERGY,3,-0.010585366007636803,-0.01392966617949476,0.0033443001718579564,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-09,2026-09-09,6,official,portfolio,FINANCIALS,3,-0.019723862407691476,-0.01392966617949476,-0.0057941962281967165,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-09,2026-09-09,6,official,portfolio,REGIONAL_BANKS,3,-0.020861045838876345,-0.01392966617949476,-0.0069313796593815855,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-09,2026-09-09,6,official,portfolio,REGIONAL_BANKS,3,-0.019948053377384915,-0.01392966617949476,-0.006018387197890156,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-09,2026-09-09,6,official,portfolio,SP500,2,-0.015692455849581993,-0.01392966617949476,-0.001762789670087233,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-09,2026-09-09,6,official,portfolio,REGIONAL_BANKS,3,-0.024272245520323626,-0.01392966617949476,-0.010342579340828866,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-09,2026-09-09,6,official,portfolio,FINANCIALS,3,-0.018212899833330992,-0.01392966617949476,-0.0042832336538362326,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-10,2026-09-10,7,official,portfolio,ENERGY,3,-0.01193399592716846,-0.019840397325297077,0.007906401398128617,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-10,2026-09-10,7,official,portfolio,FINANCIALS,3,-0.021779277415360697,-0.019840397325297077,-0.0019388800900636202,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-10,2026-09-10,7,official,portfolio,REGIONAL_BANKS,3,-0.0231645126834944,-0.019840397325297077,-0.003324115358197325,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-10,2026-09-10,7,official,portfolio,REGIONAL_BANKS,3,-0.021425576247037257,-0.019840397325297077,-0.0015851789217401803,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-10,2026-09-10,7,official,portfolio,SP500,2,-0.01785151403812269,-0.019840397325297077,0.0019888832871743853,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-10,2026-09-10,7,official,portfolio,REGIONAL_BANKS,3,-0.025225048650897895,-0.019840397325297077,-0.005384651325600818,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-10,2026-09-10,7,official,portfolio,FINANCIALS,3,-0.02348403451865303,-0.019840397325297077,-0.0036436371933559544,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-11,2026-09-11,8,official,portfolio,ENERGY,3,-0.008429126595832254,-0.011485184370836898,0.0030560577750046447,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-11,2026-09-11,8,official,portfolio,FINANCIALS,3,-0.01802106945848219,-0.011485184370836898,-0.006535885087645292,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-11,2026-09-11,8,official,portfolio,REGIONAL_BANKS,3,-0.018178598084297164,-0.011485184370836898,-0.006693413713460265,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-11,2026-09-11,8,official,portfolio,REGIONAL_BANKS,3,-0.01776817953958086,-0.011485184370836898,-0.006282995168743963,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-11,2026-09-11,8,official,portfolio,SP500,2,-0.011999896353665862,-0.011485184370836898,-0.0005147119828289633,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-5,xai,2026-09-11,2026-09-11,8,official,portfolio,REGIONAL_BANKS,3,-0.021617134257056934,-0.011485184370836898,-0.010131949886220036,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-6,xai,2026-09-11,2026-09-11,8,official,portfolio,FINANCIALS,3,-0.017579887758914507,-0.011485184370836898,-0.006094703388077608,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-fable-5,anthropic,2026-09-14,2026-09-14,11,official,portfolio,ENERGY,3,-0.011878404831644162,-0.015895598639367736,0.004017193807723574,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,anthropic-claude-opus-5,anthropic,2026-09-14,2026-09-14,11,official,portfolio,FINANCIALS,3,-0.01886997097742014,-0.015895598639367736,-0.002974372338052405,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,google-gemini-3-1-pro,google,2026-09-14,2026-09-14,11,official,portfolio,REGIONAL_BANKS,3,-0.025062911597783517,-0.015895598639367736,-0.009167312958415781,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,openai-gpt-5-6-sol,openai,2026-09-14,2026-09-14,11,official,portfolio,REGIONAL_BANKS,3,-0.01842319949383232,-0.015895598639367736,-0.002527600854464584,complete,True
CB-2026-09-02-1M,official-v3-20260902-monthly,xai-grok-4-3,xai,2026-09-14,2026-09-14,11,official,portfolio,SP500,2,-0.013884964012076284,-0.015895598639367736,0.002010634627291452,complete,True
