round_id,run_id,model_id,provider,target_date,price_date,days_elapsed,run_type,submission_format,selected_option_id,holding_count,model_return,sp500_return,alpha_vs_sp500,price_status,published
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-fable-5,anthropic,2026-08-26,2026-08-26,0,official,portfolio,SEMICONDUCTORS,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-opus-5,anthropic,2026-08-26,2026-08-26,0,official,portfolio,INDUSTRIALS,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,google-gemini-3-1-pro,google,2026-08-26,2026-08-26,0,official,portfolio,SOLAR,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,openai-gpt-5-6-sol,openai,2026-08-26,2026-08-26,0,official,portfolio,SEMICONDUCTORS,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-3,xai,2026-08-26,2026-08-26,0,official,portfolio,US_DOLLAR,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-5,xai,2026-08-26,2026-08-26,0,official,portfolio,AEROSPACE_DEFENSE,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-6,xai,2026-08-26,2026-08-26,0,official,portfolio,AEROSPACE_DEFENSE,3,0.0,0.0,0.0,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-fable-5,anthropic,2026-08-27,2026-08-27,1,official,portfolio,SEMICONDUCTORS,3,0.007209488825143272,0.006552786111251541,0.0006567027138917316,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-opus-5,anthropic,2026-08-27,2026-08-27,1,official,portfolio,INDUSTRIALS,3,-0.00353326491061664,0.006552786111251541,-0.010086051021868181,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,google-gemini-3-1-pro,google,2026-08-27,2026-08-27,1,official,portfolio,SOLAR,3,0.0015429474668084086,0.006552786111251541,-0.005009838644443132,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,openai-gpt-5-6-sol,openai,2026-08-27,2026-08-27,1,official,portfolio,SEMICONDUCTORS,3,0.0346339859826281,0.006552786111251541,0.028081199871376562,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-3,xai,2026-08-27,2026-08-27,1,official,portfolio,US_DOLLAR,3,-0.001651258342496331,0.006552786111251541,-0.008204044453747871,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-5,xai,2026-08-27,2026-08-27,1,official,portfolio,AEROSPACE_DEFENSE,3,-0.006780238870343235,0.006552786111251541,-0.013333024981594777,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-6,xai,2026-08-27,2026-08-27,1,official,portfolio,AEROSPACE_DEFENSE,3,-0.0038277392334059132,0.006552786111251541,-0.010380525344657453,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-fable-5,anthropic,2026-08-28,2026-08-28,2,official,portfolio,SEMICONDUCTORS,3,-0.008312471668752836,0.004268461305880544,-0.01258093297463338,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,anthropic-claude-opus-5,anthropic,2026-08-28,2026-08-28,2,official,portfolio,INDUSTRIALS,3,-0.009129220351569389,0.004268461305880544,-0.013397681657449933,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,google-gemini-3-1-pro,google,2026-08-28,2026-08-28,2,official,portfolio,SOLAR,3,-0.01172531185339008,0.004268461305880544,-0.015993773159270624,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,openai-gpt-5-6-sol,openai,2026-08-28,2026-08-28,2,official,portfolio,SEMICONDUCTORS,3,0.01257718120681986,0.004268461305880544,0.008308719900939315,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-3,xai,2026-08-28,2026-08-28,2,official,portfolio,US_DOLLAR,3,-0.005251648591122969,0.004268461305880544,-0.009520109897003514,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-5,xai,2026-08-28,2026-08-28,2,official,portfolio,AEROSPACE_DEFENSE,3,-0.011908486691964915,0.004268461305880544,-0.01617694799784546,complete,True
CB-2026-08-25-1M,official-v3-20260825-monthly-clean,xai-grok-4-6,xai,2026-08-28,2026-08-28,2,official,portfolio,AEROSPACE_DEFENSE,3,-0.010265048677190957,0.004268461305880544,-0.014533509983071501,complete,True
