round_id,target_date,price_date,option_id,symbol,price,price_source,published
CB-2026-07-24-1W,2026-07-24,2026-07-24,AEROSPACE_DEFENSE,ITA,240.14,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,AGRICULTURE,DBA,28.24,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,CASH,,1.0,cash,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,COMMUNICATIONS,XLC,106.3,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,ENERGY,XLE,59.62,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,EQUAL_WEIGHT_SP500,RSP,213.57,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,FINANCIALS,XLF,56.31,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,HEALTHCARE,XLV,162.57,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,INDUSTRIALS,XLI,182.66,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,LARGE_VALUE,IWD,248.24,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,LOW_VOL,SPLV,77.19,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,SOFTWARE,IGV,87.98,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,SP500,SPY,738.93,tiingo_eod,True
CB-2026-07-24-1W,2026-07-24,2026-07-24,UTILITIES,XLU,46.29,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,AEROSPACE_DEFENSE,ITA,243.91,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,AGRICULTURE,DBA,27.62,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,CASH,,1.0,cash,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,COMMUNICATIONS,XLC,107.66,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,ENERGY,XLE,58.36,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,EQUAL_WEIGHT_SP500,RSP,215.18,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,FINANCIALS,XLF,56.88,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,HEALTHCARE,XLV,163.4,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,INDUSTRIALS,XLI,183.2,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,LARGE_VALUE,IWD,249.74,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,LOW_VOL,SPLV,77.22,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,SOFTWARE,IGV,90.91,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,SP500,SPY,739.09,tiingo_eod,True
CB-2026-07-24-1W,2026-07-27,2026-07-27,UTILITIES,XLU,45.68,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,AEROSPACE_DEFENSE,ITA,244.98,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,AGRICULTURE,DBA,27.84,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,CASH,,1.0,cash,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,COMMUNICATIONS,XLC,109.67,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,ENERGY,XLE,57.57,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,EQUAL_WEIGHT_SP500,RSP,217.69,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,FINANCIALS,XLF,57.6,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,HEALTHCARE,XLV,167.26,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,INDUSTRIALS,XLI,182.49,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,LARGE_VALUE,IWD,252.04,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,LOW_VOL,SPLV,77.97,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,SOFTWARE,IGV,91.78,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,SP500,SPY,740.86,tiingo_eod,True
CB-2026-07-24-1W,2026-07-28,2026-07-28,UTILITIES,XLU,45.52,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,AEROSPACE_DEFENSE,ITA,236.26,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,AGRICULTURE,DBA,27.49,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,CASH,,1.0,cash,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,COMMUNICATIONS,XLC,109.51,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,ENERGY,XLE,58.65,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,EQUAL_WEIGHT_SP500,RSP,215.73,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,FINANCIALS,XLF,56.68,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,HEALTHCARE,XLV,166.24,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,INDUSTRIALS,XLI,176.66,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,LARGE_VALUE,IWD,249.52,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,LOW_VOL,SPLV,77.54,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,SOFTWARE,IGV,92.37,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,SP500,SPY,729.46,tiingo_eod,True
CB-2026-07-24-1W,2026-07-29,2026-07-29,UTILITIES,XLU,44.91,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,AEROSPACE_DEFENSE,ITA,238.13,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,AGRICULTURE,DBA,27.48,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,CASH,,1.0,cash,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,COMMUNICATIONS,XLC,106.58,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,ENERGY,XLE,58.96,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,EQUAL_WEIGHT_SP500,RSP,215.38,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,FINANCIALS,XLF,57.0,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,HEALTHCARE,XLV,163.52,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,INDUSTRIALS,XLI,178.39,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,LARGE_VALUE,IWD,250.71,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,LOW_VOL,SPLV,76.38,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,SOFTWARE,IGV,93.31,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,SP500,SPY,741.69,tiingo_eod,True
CB-2026-07-24-1W,2026-07-30,2026-07-30,UTILITIES,XLU,44.66,tiingo_eod,True
