round_id,decision_deadline_utc,horizon_days,official_run_id,stability_run_id,official_models_count,stability_models_count,included_in_latest,included_in_official_cumulative,included_in_stability_cumulative,warnings
CB-2026-05-24-1W,2026-05-25T01:00:00Z,7,official-20260524-1W,,4,0,no,yes,no,
CB-2026-05-27-1W,2026-05-27T08:00:00Z,7,official-20260527-1W,,4,0,no,yes,no,
CB-2026-05-28-1W,2026-05-28T22:00:00Z,7,official-20260528-1W,,5,0,no,yes,no,
CB-2026-05-29-1W,2026-05-30T00:00:00Z,7,official-20260529-1W,,5,0,no,yes,no,
CB-2026-06-01-1W,2026-06-02T00:00:00Z,7,official-20260601,,5,0,no,yes,no,
CB-2026-06-02-1W,2026-06-02T08:00:00Z,7,official-20260602-clean,,5,0,no,yes,no,
CB-2026-06-03-1W,2026-06-02T20:35:43Z,7,official-20260603,,5,0,no,yes,no,
CB-2026-06-05-1W,2026-06-05T20:35:00Z,7,official-20260605,,5,0,no,yes,no,
CB-2026-06-08-1W,2026-06-08T20:35:00Z,7,official-20260608,,5,0,no,yes,no,
CB-2026-06-09-1W,2026-06-09T23:30:00Z,7,official-20260609,,6,0,no,yes,no,
CB-2026-06-12-1W,2026-06-12T23:30:00Z,7,official-20260612-clean,,6,0,no,yes,no,
CB-2026-06-13-1W,2026-06-13T23:30:00Z,6,official-20260613,,6,0,no,yes,no,
CB-2026-06-15-1W,2026-06-16T02:30:00Z,7,official-20260615-no-fable,,5,0,no,yes,no,
CB-2026-06-16-1W,2026-06-17T02:30:00Z,7,official-20260616-no-fable,,5,0,no,yes,no,
CB-2026-06-17-1W,2026-06-18T02:30:00Z,7,official-20260617-no-fable,,5,0,no,yes,no,
CB-2026-06-18-1W,2026-06-19T02:30:00Z,7,official-20260618-no-fable,,5,0,no,yes,no,
CB-2026-06-22-1W,2026-06-23T02:30:00Z,7,official-20260622-no-fable,,5,0,no,yes,no,
CB-2026-06-23-1W,2026-06-24T02:30:00Z,7,official-20260623-no-fable,,5,0,no,yes,no,
CB-2026-06-24-1W,2026-06-25T02:30:00Z,7,official-20260624-no-fable,,5,0,no,yes,no,
CB-2026-06-25-1W,2026-06-26T02:30:00Z,7,official-20260625-no-fable,,5,0,no,yes,no,
CB-2026-06-26-1W,2026-06-27T03:30:00Z,6,official-20260626-no-fable,,5,0,no,yes,no,
CB-2026-06-29-1W,2026-06-30T03:30:00Z,7,official-20260629-no-fable,,5,0,no,yes,no,
CB-2026-06-30-1W,2026-07-01T07:30:00Z,7,official-20260630-no-fable-clean,,5,0,no,yes,no,
CB-2026-07-01-1W,2026-07-02T07:30:00Z,7,official-20260701-with-fable,,6,0,no,yes,no,
CB-2026-07-02-1W,2026-07-03T07:30:00Z,7,official-20260702,,6,0,no,yes,no,
CB-2026-07-06-1W,2026-07-07T07:30:00Z,7,official-20260706,,6,0,no,yes,no,
CB-2026-07-07-1W,2026-07-08T07:30:00Z,7,official-20260707,,6,0,no,yes,no,
CB-2026-07-08-1W,2026-07-09T07:30:00Z,7,official-20260708,,7,0,no,yes,no,
CB-2026-07-09-1W,2026-07-10T07:30:00Z,7,official-20260709,,7,0,no,yes,no,
CB-2026-07-10-1W,2026-07-11T07:30:00Z,7,official-20260710,,8,0,no,yes,no,
CB-2026-07-13-1W,2026-07-14T07:30:00Z,7,official-20260713,,8,0,no,yes,no,
CB-2026-07-14-1W,2026-07-15T07:30:00Z,7,official-20260714,,8,0,no,yes,no,
CB-2026-07-15-1W,2026-07-16T07:30:00Z,7,official-20260715,,8,0,no,yes,no,
CB-2026-07-17-1W,2026-07-18T09:30:00Z,7,official-v2-all-weekly-final-20260717,,8,0,no,yes,no,
CB-2026-07-20-1W,2026-07-21T09:30:00Z,7,official-v2-20260720,,8,0,no,yes,no,
CB-2026-07-21-1W,2026-07-22T09:30:00Z,7,official-v2-2-20260721-1w-r2,,7,0,no,yes,no,
CB-2026-07-22-1W,2026-07-23T09:30:00Z,7,official-v2-2-20260722-1w,,7,0,no,yes,no,
CB-2026-07-23-1W,2026-07-24T09:30:00Z,7,official-v2-2-20260723-1w-r2,,7,0,no,yes,no,
CB-2026-07-24-1W,2026-07-25T23:30:00Z,7,official-v2-2-all-weekly-20260724,,8,0,yes,yes,no,
